p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
microwave oven | 9      | 135        | 0.0000      
microwave oven | 10     | 127        | 0.0000      

giraffe  | 1      | 13         | 25.0000     
giraffe  | 2      | 66         | 18.0000     
giraffe  | 3      | 76         | 17.0000     
giraffe  | 4      | 28         | 17.0000     
giraffe  | 5      | 16         | 16.0000     
giraffe  | 6      | 75         | 16.0000     
giraffe  | 7      | 107        | 15.0000     
giraffe  | 8      | 72         | 15.0000     
giraffe  | 9      | 57         | 15.0000     
giraffe  | 10     | 63         | 15.0000     

person + car | 1      | 198        | 99604.0000  
person + car | 2      | 195        | 99596.0000  
person + car | 3      | 188        | 99518.0000  
person + car | 4      | 187        | 99509.0000  
person + car | 5      | 190        | 99466.0000  
person + car | 6      | 194        | 99411.0000  
person + car | 7      | 192        | 99399.0000  
person + car | 8      | 196        | 99373.0000  
person + car | 9      | 176        | 99372.0000  
person + car | 10     | 185        | 99338.0000  

total    | 1      | 195        | 100000.0000 
total    | 2      | 198        | 99998.0000  
total    | 3      | 187        | 99961.0000  
total    | 4      | 190        | 99956.0000  
total    | 5      | 188        | 99954.0000  
total    | 6      | 194        | 99865.0000  
total    | 7      | 192        | 99850.0000  
total    | 8      | 176        | 99832.0000  
total    | 9      | 196        | 99816.0000  
total    | 10     | 174        | 99805.0000  

==================================================

p: ../results/model_2/teaspoon_tgt_0
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 199        | 90565.0000  
person   | 2      | 198        | 90561.0000  
person   | 3      | 196        | 90499.0000  
person   | 4      | 197        | 90248.0000  
person   | 5      | 194        | 90210.0000  
person   | 6      | 195        | 90146.0000  
person   | 7      | 193        | 90139.0000  
person   | 8      | 192        | 90073.0000  
person   | 9      | 188        | 89860.0000  
person   | 10     | 186        | 89859.0000  

car      | 1      | 194        | 208.0000    
car      | 2      | 172        | 201.0000    
car      | 3      | 195        | 198.0000    
car      | 4      | 183        | 195.0000    
car      | 5      | 197        | 193.0000    
car      | 6      | 176        | 193.0000    
car      | 7      | 188        | 189.0000    
car      | 8      | 177        | 181.0000    
car      | 9      | 173        | 181.0000    
car      | 10     | 193        | 180.0000    

microwave oven | 1      | 0          | 7.0000      
microwave oven | 2      | 1          | 3.0000      
microwave oven | 3      | 2          | 2.0000      
microwave oven | 4      | 3          | 2.0000      
microwave oven | 5      | 6          | 1.0000      
microwave oven | 6      | 4          | 1.0000      
microwave oven | 7      | 5          | 1.0000      
microwave oven | 8      | 137        | 0.0000      
microwave oven | 9      | 135        | 0.0000      
microwave oven | 10     | 134        | 0.0000      

giraffe  | 1      | 39         | 62.0000     
giraffe  | 2      | 21         | 61.0000     
giraffe  | 3      | 42         | 59.0000     
giraffe  | 4      | 37         | 59.0000     
giraffe  | 5      | 87         | 56.0000     
giraffe  | 6      | 64         | 55.0000     
giraffe  | 7      | 34         | 54.0000     
giraffe  | 8      | 14         | 54.0000     
giraffe  | 9      | 48         | 54.0000     
giraffe  | 10     | 79         | 54.0000     

person + car | 1      | 199        | 90739.0000  
person + car | 2      | 198        | 90737.0000  
person + car | 3      | 196        | 90677.0000  
person + car | 4      | 197        | 90441.0000  
person + car | 5      | 194        | 90418.0000  
person + car | 6      | 195        | 90344.0000  
person + car | 7      | 193        | 90319.0000  
person + car | 8      | 192        | 90250.0000  
person + car | 9      | 188        | 90049.0000  
person + car | 10     | 186        | 90031.0000  

total    | 1      | 198        | 91235.0000  
total    | 2      | 199        | 91223.0000  
total    | 3      | 196        | 91149.0000  
total    | 4      | 197        | 90935.0000  
total    | 5      | 194        | 90930.0000  
total    | 6      | 195        | 90837.0000  
total    | 7      | 193        | 90791.0000  
total    | 8      | 192        | 90770.0000  
total    | 9      | 186        | 90534.0000  
total    | 10     | 188        | 90529.0000  

==================================================

p: ../results/model_0/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 492.0000    
person   | 2      | 187        | 491.0000    
person   | 3      | 164        | 486.0000    
person   | 4      | 195        | 479.0000    
person   | 5      | 150        | 478.0000    
person   | 6      | 191        | 476.0000    
person   | 7      | 162        | 475.0000    
person   | 8      | 135        | 475.0000    
person   | 9      | 148        | 472.0000    
person   | 10     | 149        | 471.0000    

car      | 1      | 100        | 200.0000    
car      | 2      | 134        | 194.0000    
car      | 3      | 95         | 190.0000    
car      | 4      | 105        | 187.0000    
car      | 5      | 114        | 187.0000    
car      | 6      | 98         | 186.0000    
car      | 7      | 97         | 184.0000    
car      | 8      | 120        | 182.0000    
car      | 9      | 84         | 182.0000    
car      | 10     | 108        | 179.0000    

microwave oven | 1      | 199        | 73949.0000  
microwave oven | 2      | 197        | 73935.0000  
microwave oven | 3      | 195        | 73073.0000  
microwave oven | 4      | 198        | 72881.0000  
microwave oven | 5      | 193        | 72424.0000  
microwave oven | 6      | 196        | 72327.0000  
microwave oven | 7      | 194        | 72327.0000  
microwave oven | 8      | 191        | 71976.0000  
microwave oven | 9      | 192        | 71713.0000  
microwave oven | 10     | 189        | 71526.0000  

giraffe  | 1      | 67         | 11.0000     
giraffe  | 2      | 9          | 10.0000     
giraffe  | 3      | 47         | 10.0000     
giraffe  | 4      | 80         | 9.0000      
giraffe  | 5      | 103        | 9.0000      
giraffe  | 6      | 98         | 8.0000      
giraffe  | 7      | 54         | 7.0000      
giraffe  | 8      | 73         | 7.0000      
giraffe  | 9      | 83         | 7.0000      
giraffe  | 10     | 101        | 7.0000      

person + car | 1      | 120        | 646.0000    
person + car | 2      | 164        | 641.0000    
person + car | 3      | 98         | 641.0000    
person + car | 4      | 130        | 640.0000    
person + car | 5      | 134        | 639.0000    
person + car | 6      | 121        | 637.0000    
person + car | 7      | 147        | 637.0000    
person + car | 8      | 149        | 635.0000    
person + car | 9      | 137        | 634.0000    
person + car | 10     | 118        | 633.0000    

total    | 1      | 197        | 75262.0000  
total    | 2      | 199        | 75260.0000  
total    | 3      | 195        | 74358.0000  
total    | 4      | 198        | 74140.0000  
total    | 5      | 193        | 73742.0000  
total    | 6      | 194        | 73658.0000  
total    | 7      | 196        | 73607.0000  
total    | 8      | 191        | 73362.0000  
total    | 9      | 192        | 72999.0000  
total    | 10     | 189        | 72928.0000  

==================================================

p: ../results/model_0/teastatic_tgt_23
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
