p: ../results/model_2/overload_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
car      | 6      | 195        | 165.0000    
car      | 7      | 191        | 164.0000    
car      | 8      | 178        | 163.0000    
car      | 9      | 194        | 162.0000    
car      | 10     | 187        | 160.0000    

microwave oven | 1      | 34         | 8.0000      
microwave oven | 2      | 62         | 6.0000      
microwave oven | 3      | 38         | 6.0000      
microwave oven | 4      | 88         | 6.0000      
microwave oven | 5      | 52         | 6.0000      
microwave oven | 6      | 63         | 6.0000      
microwave oven | 7      | 23         | 6.0000      
microwave oven | 8      | 24         | 6.0000      
microwave oven | 9      | 65         | 6.0000      
microwave oven | 10     | 33         | 6.0000      

giraffe  | 1      | 22         | 24.0000     
giraffe  | 2      | 23         | 21.0000     
giraffe  | 3      | 46         | 20.0000     
giraffe  | 4      | 47         | 20.0000     
giraffe  | 5      | 24         | 19.0000     
giraffe  | 6      | 173        | 19.0000     
giraffe  | 7      | 172        | 19.0000     
giraffe  | 8      | 171        | 19.0000     
giraffe  | 9      | 169        | 18.0000     
giraffe  | 10     | 198        | 17.0000     

person + car | 1      | 190        | 1084.0000   
person + car | 2      | 197        | 1078.0000   
person + car | 3      | 183        | 1068.0000   
person + car | 4      | 172        | 1067.0000   
person + car | 5      | 178        | 1066.0000   
person + car | 6      | 191        | 1065.0000   
person + car | 7      | 185        | 1064.0000   
person + car | 8      | 186        | 1063.0000   
person + car | 9      | 188        | 1056.0000   
person + car | 10     | 198        | 1053.0000   

==================================================

